Input =("
Objects Architecture Effects Resolution Time
65000 APU AA-TR-RE 1440x900 110.71
1000 APU xx-xx-xx 1920x1080 4.26
16000 APU xx-xx-RE 1280x720 6.09
260000 APU xx-TR-RE 1440x900 53.21
16000 APU AA-xx-RE 1440x900 24.70
4000 APU xx-xx-xx 1280x720 3.95
65000 APU xx-TR-xx 1280x720 8.76
260000 APU xx-xx-xx 1440x900 13.30
260000 APU AA-TR-RE 1440x900 252.05
65000 APU xx-TR-RE 1440x900 24.49
1000 APU AA-xx-RE 1440x900 7.00
260000 APU xx-xx-xx 1280x720 11.75
1000 APU AA-TR-xx 1440x900 7.25
65000 APU xx-TR-xx 1440x900 10.06
16000 APU AA-TR-RE 1440x900 55.86
65000 APU xx-TR-xx 1440x900 10.32
65000 APU AA-xx-RE 1440x900 43.62
260000 APU xx-TR-RE 1920x1080 63.86
16000 APU xx-TR-xx 1440x900 7.20
260000 APU AA-xx-RE 1280x720 84.02
260000 APU AA-TR-RE 1440x900 249.30
4000 APU AA-TR-xx 1440x900 11.86
260000 APU xx-TR-xx 1280x720 16.68
16000 APU xx-xx-RE 1920x1080 8.60
1000 APU AA-TR-RE 1440x900 8.53
16000 APU xx-xx-xx 1280x720 4.60
65000 APU xx-xx-RE 1920x1080 13.82
260000 APU xx-xx-xx 1280x720 11.83
65000 APU xx-TR-xx 1280x720 8.74
65000 APU AA-TR-xx 1280x720 30.26
4000 APU AA-xx-RE 1920x1080 15.03
1000 APU AA-xx-xx 1280x720 5.36
16000 APU xx-xx-RE 1440x900 7.21
1000 APU AA-xx-xx 1920x1080 6.73
16000 APU AA-TR-xx 1440x900 22.35
65000 APU AA-xx-RE 1280x720 32.92
1000 APU xx-TR-xx 1280x720 3.74
260000 APU AA-xx-RE 1920x1080 124.67
260000 APU AA-xx-xx 1440x900 47.91
1000 APU xx-TR-xx 1920x1080 4.43
65000 APU xx-xx-RE 1280x720 9.33
4000 APU AA-xx-xx 1440x900 8.30
16000 APU AA-xx-RE 1920x1080 30.36
4000 APU xx-xx-xx 1280x720 4.23
4000 APU AA-TR-xx 1440x900 11.89
260000 APU xx-xx-xx 1920x1080 15.20
65000 APU xx-xx-xx 1920x1080 7.71
260000 APU xx-TR-xx 1280x720 16.94
65000 APU AA-TR-xx 1440x900 36.16
260000 APU AA-TR-xx 1440x900 77.20
1000 APU xx-TR-xx 1280x720 3.82
260000 APU AA-TR-xx 1920x1080 92.43
260000 APU xx-TR-RE 1440x900 53.11
260000 APU xx-TR-RE 1280x720 41.74
260000 APU xx-TR-xx 1920x1080 22.23
260000 APU AA-TR-RE 1280x720 194.82
260000 APU AA-xx-RE 1280x720 84.66
4000 APU AA-xx-RE 1920x1080 14.96
1000 APU xx-TR-RE 1280x720 3.80
260000 APU xx-xx-RE 1280x720 19.80
260000 APU xx-TR-xx 1920x1080 22.62
4000 APU xx-xx-RE 1280x720 4.35
1000 APU AA-xx-RE 1440x900 7.21
1000 APU AA-TR-RE 1280x720 7.43
65000 APU xx-xx-RE 1920x1080 13.66
65000 APU xx-TR-RE 1440x900 23.73
65000 APU xx-xx-xx 1920x1080 7.78
65000 APU AA-xx-xx 1440x900 19.06
1000 APU xx-xx-xx 1280x720 3.48
16000 APU AA-xx-RE 1920x1080 30.58
4000 APU xx-xx-xx 1280x720 4.14
65000 APU xx-xx-RE 1440x900 11.44
1000 APU xx-TR-RE 1920x1080 4.49
4000 APU AA-TR-xx 1280x720 10.29
260000 APU xx-xx-xx 1920x1080 15.18
16000 APU xx-TR-RE 1920x1080 15.49
16000 APU xx-xx-xx 1440x900 4.99
4000 APU xx-xx-RE 1440x900 4.69
4000 APU AA-xx-xx 1280x720 6.99
16000 APU xx-xx-RE 1280x720 5.97
65000 APU xx-TR-xx 1920x1080 12.06
65000 APU xx-TR-xx 1440x900 10.23
1000 APU AA-TR-xx 1280x720 7.11
260000 APU xx-xx-xx 1920x1080 15.26
16000 APU xx-TR-xx 1280x720 6.46
1000 APU xx-xx-xx 1440x900 3.81
16000 APU xx-TR-xx 1920x1080 8.36
260000 APU xx-TR-RE 1920x1080 64.61
4000 APU AA-xx-RE 1920x1080 14.91
4000 APU AA-xx-RE 1440x900 12.52
16000 APU xx-xx-RE 1280x720 6.18
16000 APU xx-TR-RE 1280x720 10.47
4000 APU xx-TR-xx 1440x900 5.46
65000 APU AA-TR-RE 1280x720 82.95
65000 APU AA-TR-xx 1920x1080 43.95
4000 APU AA-xx-RE 1280x720 10.46
4000 APU AA-TR-xx 1280x720 10.80
65000 APU xx-xx-RE 1280x720 9.28
260000 APU xx-TR-RE 1280x720 41.88
16000 APU AA-TR-RE 1280x720 43.57
65000 APU AA-TR-RE 1280x720 83.59
65000 APU xx-xx-RE 1920x1080 13.91
260000 APU AA-TR-xx 1440x900 76.38
4000 APU xx-xx-RE 1920x1080 5.50
4000 APU xx-xx-xx 1440x900 4.68
65000 APU xx-xx-RE 1280x720 9.16
4000 APU xx-xx-RE 1920x1080 5.88
4000 APU xx-TR-xx 1920x1080 5.71
16000 APU xx-TR-xx 1920x1080 8.26
4000 APU xx-TR-xx 1920x1080 5.53
65000 APU xx-TR-RE 1920x1080 29.34
65000 APU AA-TR-RE 1440x900 111.41
4000 APU xx-xx-xx 1280x720 4.38
1000 APU AA-TR-xx 1280x720 6.54
1000 APU xx-TR-RE 1440x900 4.18
1000 APU AA-xx-RE 1920x1080 8.10
16000 APU AA-xx-xx 1280x720 9.86
260000 APU xx-TR-xx 1280x720 16.62
16000 APU xx-TR-xx 1280x720 6.22
65000 APU AA-TR-RE 1280x720 83.28
65000 APU AA-xx-RE 1920x1080 55.11
4000 APU AA-TR-RE 1920x1080 24.63
260000 APU AA-xx-xx 1440x900 46.93
1000 APU AA-TR-xx 1920x1080 7.94
16000 APU xx-TR-RE 1440x900 13.48
16000 APU xx-xx-xx 1440x900 5.17
4000 APU xx-TR-RE 1280x720 5.63
65000 APU xx-TR-RE 1280x720 18.28
4000 APU xx-TR-RE 1440x900 6.35
16000 APU AA-xx-RE 1440x900 24.04
65000 APU xx-xx-RE 1440x900 11.54
1000 APU xx-TR-RE 1280x720 3.78
16000 APU AA-xx-xx 1280x720 9.95
4000 APU AA-xx-RE 1440x900 12.55
1000 APU AA-xx-xx 1440x900 6.11
65000 APU AA-xx-RE 1280x720 33.30
65000 APU xx-TR-xx 1920x1080 12.20
1000 APU xx-xx-RE 1280x720 3.50
4000 APU xx-TR-RE 1920x1080 7.28
260000 APU AA-TR-xx 1280x720 66.66
65000 APU xx-TR-xx 1280x720 9.14
260000 APU xx-xx-RE 1440x900 23.74
16000 APU AA-TR-RE 1920x1080 65.61
1000 APU xx-xx-RE 1440x900 3.87
65000 APU xx-TR-RE 1280x720 18.56
260000 APU xx-xx-xx 1920x1080 15.08
65000 APU AA-TR-xx 1280x720 30.10
260000 APU xx-xx-RE 1280x720 19.82
260000 APU AA-xx-xx 1280x720 39.93
65000 APU xx-xx-xx 1280x720 5.95
260000 APU AA-TR-RE 1280x720 194.91
1000 APU AA-xx-xx 1920x1080 6.72
4000 APU xx-TR-xx 1440x900 5.41
16000 APU AA-TR-RE 1280x720 44.28
65000 APU xx-TR-RE 1440x900 24.16
65000 APU AA-xx-xx 1920x1080 22.74
1000 APU AA-TR-RE 1440x900 8.81
16000 APU xx-xx-xx 1280x720 4.64
4000 APU AA-xx-RE 1440x900 12.55
65000 APU AA-xx-xx 1920x1080 22.70
260000 APU AA-TR-xx 1280x720 66.94
260000 APU AA-xx-xx 1920x1080 55.09
16000 APU AA-xx-xx 1440x900 11.38
4000 APU xx-xx-xx 1920x1080 4.79
1000 APU xx-TR-xx 1280x720 3.70
65000 APU AA-xx-xx 1440x900 19.11
260000 APU xx-TR-xx 1920x1080 22.54
4000 APU xx-TR-RE 1440x900 6.41
260000 APU xx-xx-RE 1280x720 19.95
4000 APU AA-TR-RE 1280x720 17.25
1000 APU AA-TR-xx 1920x1080 7.96
65000 APU xx-TR-xx 1920x1080 11.65
260000 APU AA-TR-xx 1280x720 66.62
16000 APU xx-TR-RE 1280x720 10.50
1000 APU AA-xx-xx 1920x1080 6.73
260000 APU xx-TR-RE 1440x900 53.04
4000 APU AA-TR-xx 1920x1080 13.85
65000 APU AA-TR-xx 1920x1080 44.36
65000 APU xx-TR-xx 1920x1080 11.78
16000 APU AA-TR-RE 1920x1080 65.94
16000 APU AA-xx-RE 1920x1080 30.52
16000 APU xx-TR-RE 1920x1080 15.48
4000 APU xx-TR-xx 1920x1080 5.88
4000 APU AA-xx-xx 1440x900 8.11
1000 APU AA-TR-RE 1440x900 8.70
260000 APU AA-xx-xx 1280x720 39.91
1000 APU AA-xx-xx 1280x720 5.15
16000 APU xx-xx-xx 1920x1080 5.70
16000 APU xx-xx-xx 1280x720 4.77
16000 APU AA-TR-xx 1920x1080 26.15
1000 APU xx-xx-RE 1920x1080 4.18
16000 APU AA-xx-RE 1440x900 24.47
260000 APU xx-TR-RE 1440x900 52.81
65000 APU xx-TR-RE 1440x900 23.73
1000 APU xx-xx-xx 1280x720 3.49
1000 APU AA-TR-RE 1280x720 7.50
16000 APU AA-xx-RE 1440x900 24.50
1000 APU xx-TR-RE 1280x720 3.83
4000 APU AA-TR-RE 1920x1080 24.66
4000 APU AA-xx-xx 1440x900 8.31
4000 APU AA-xx-RE 1440x900 12.65
260000 APU AA-TR-RE 1440x900 250.96
4000 APU AA-TR-xx 1440x900 11.81
1000 APU xx-TR-RE 1920x1080 4.54
4000 APU xx-TR-RE 1280x720 5.45
16000 APU xx-xx-RE 1920x1080 8.65
65000 APU AA-TR-xx 1920x1080 43.97
260000 APU AA-xx-RE 1440x900 100.88
16000 APU AA-TR-RE 1280x720 43.80
16000 APU AA-xx-RE 1920x1080 30.74
1000 APU AA-TR-xx 1280x720 6.67
16000 APU AA-xx-RE 1280x720 19.07
65000 APU AA-TR-RE 1440x900 110.33
1000 APU AA-TR-RE 1280x720 7.75
16000 APU AA-TR-RE 1920x1080 65.51
65000 APU AA-xx-xx 1920x1080 22.56
1000 APU AA-TR-xx 1440x900 7.30
65000 APU AA-TR-xx 1440x900 36.03
260000 APU xx-xx-RE 1440x900 23.73
1000 APU AA-xx-RE 1920x1080 7.98
65000 APU AA-xx-RE 1280x720 32.76
1000 APU xx-TR-xx 1920x1080 4.13
1000 APU xx-xx-RE 1920x1080 4.31
260000 APU xx-xx-RE 1920x1080 28.66
260000 APU AA-TR-RE 1440x900 249.54
65000 APU AA-TR-RE 1280x720 82.88
1000 APU xx-TR-xx 1440x900 4.01
65000 APU AA-xx-RE 1440x900 43.93
260000 APU AA-TR-xx 1920x1080 92.52
1000 APU xx-TR-xx 1440x900 4.03
4000 APU AA-xx-RE 1280x720 10.59
1000 APU AA-xx-xx 1280x720 5.53
16000 APU xx-TR-RE 1920x1080 15.48
65000 APU xx-TR-RE 1440x900 24.25
1000 APU AA-xx-RE 1280x720 6.84
260000 APU AA-xx-RE 1440x900 101.49
1000 APU xx-xx-xx 1280x720 3.51
16000 APU xx-xx-xx 1440x900 4.88
260000 APU AA-xx-xx 1440x900 47.94
1000 APU xx-TR-xx 1920x1080 4.35
16000 APU xx-xx-RE 1440x900 7.40
1000 APU AA-TR-RE 1920x1080 9.62
4000 APU xx-TR-RE 1440x900 6.44
260000 APU xx-TR-xx 1440x900 19.35
65000 APU xx-xx-xx 1440x900 7.10
4000 APU AA-xx-RE 1280x720 10.57
65000 APU AA-xx-RE 1280x720 32.54
260000 APU AA-TR-RE 1920x1080 306.25
65000 APU xx-xx-RE 1920x1080 13.76
260000 APU AA-xx-xx 1280x720 39.83
16000 APU AA-TR-RE 1280x720 43.99
260000 APU AA-TR-RE 1280x720 196.81
4000 APU xx-TR-RE 1920x1080 7.35
16000 APU xx-TR-RE 1440x900 13.63
65000 APU AA-xx-xx 1280x720 16.18
1000 APU xx-TR-xx 1920x1080 4.26
4000 APU xx-TR-xx 1440x900 5.44
4000 APU AA-xx-RE 1920x1080 14.90
4000 APU AA-TR-xx 1920x1080 13.87
4000 APU AA-TR-xx 1280x720 10.90
1000 APU AA-xx-RE 1280x720 6.72
260000 APU AA-xx-RE 1280x720 84.71
16000 APU AA-xx-RE 1280x720 19.44
4000 APU AA-xx-xx 1920x1080 9.42
260000 APU xx-TR-xx 1440x900 19.08
16000 APU AA-TR-RE 1440x900 55.16
1000 APU xx-xx-RE 1440x900 4.14
4000 APU AA-xx-xx 1920x1080 9.52
16000 APU xx-xx-xx 1920x1080 5.67
16000 APU AA-xx-xx 1280x720 9.98
1000 APU xx-xx-RE 1280x720 3.62
4000 APU AA-xx-RE 1440x900 12.70
16000 APU AA-TR-xx 1280x720 19.44
260000 APU AA-TR-xx 1280x720 66.92
260000 APU xx-xx-RE 1280x720 20.09
4000 APU xx-xx-RE 1440x900 5.03
65000 APU AA-xx-RE 1920x1080 55.09
1000 APU xx-TR-RE 1920x1080 4.51
4000 APU AA-TR-xx 1440x900 12.28
1000 APU xx-xx-xx 1920x1080 4.23
260000 APU AA-xx-RE 1440x900 101.18
16000 APU xx-TR-RE 1920x1080 15.58
260000 APU xx-xx-RE 1920x1080 28.11
4000 APU xx-xx-xx 1280x720 4.00
4000 APU AA-TR-RE 1920x1080 24.31
4000 APU xx-xx-RE 1280x720 4.53
16000 APU xx-xx-RE 1280x720 6.09
4000 APU AA-TR-RE 1920x1080 24.33
65000 APU AA-TR-xx 1280x720 30.34
260000 APU xx-xx-xx 1440x900 13.35
1000 APU AA-xx-xx 1280x720 5.38
4000 APU xx-TR-RE 1280x720 5.69
1000 APU xx-xx-xx 1440x900 3.99
260000 APU AA-xx-RE 1920x1080 124.96
260000 APU AA-TR-RE 1920x1080 306.85
1000 APU xx-xx-xx 1280x720 3.41
4000 APU AA-TR-RE 1440x900 20.26
4000 APU xx-xx-RE 1920x1080 5.62
1000 APU AA-xx-xx 1440x900 6.01
4000 APU xx-TR-RE 1280x720 5.23
16000 APU AA-xx-RE 1280x720 18.67
4000 APU AA-xx-xx 1440x900 8.23
65000 APU AA-TR-RE 1920x1080 135.59
260000 APU AA-TR-RE 1920x1080 305.31
65000 APU xx-xx-RE 1440x900 11.26
4000 APU AA-TR-RE 1280x720 17.16
65000 APU AA-xx-xx 1440x900 19.38
4000 APU AA-TR-RE 1280x720 17.15
1000 APU xx-xx-xx 1440x900 3.86
16000 APU AA-TR-xx 1440x900 22.73
65000 APU AA-TR-xx 1440x900 36.44
1000 APU AA-xx-RE 1280x720 6.32
16000 APU xx-xx-xx 1440x900 5.15
260000 APU xx-TR-RE 1920x1080 64.30
1000 APU AA-TR-RE 1920x1080 9.60
65000 APU AA-TR-RE 1440x900 110.86
260000 APU AA-xx-RE 1440x900 101.55
4000 APU xx-TR-RE 1280x720 5.22
260000 APU xx-TR-RE 1280x720 42.28
1000 APU AA-TR-RE 1920x1080 9.55
4000 APU AA-xx-xx 1440x900 8.35
1000 APU AA-TR-RE 1440x900 8.55
260000 APU AA-xx-RE 1440x900 101.47
1000 APU xx-TR-RE 1440x900 4.23
65000 APU xx-TR-RE 1280x720 18.48
16000 APU AA-TR-RE 1440x900 56.53
4000 APU AA-xx-xx 1280x720 7.43
65000 APU AA-TR-RE 1920x1080 137.18
4000 APU AA-TR-xx 1440x900 11.92
260000 APU AA-xx-xx 1920x1080 54.90
1000 APU xx-TR-RE 1440x900 4.09
1000 APU AA-TR-RE 1920x1080 9.59
4000 APU AA-TR-xx 1280x720 10.57
4000 APU AA-xx-xx 1920x1080 9.50
65000 APU AA-TR-xx 1440x900 36.11
16000 APU xx-TR-RE 1280x720 10.56
1000 APU xx-xx-RE 1440x900 3.91
65000 APU xx-TR-RE 1280x720 18.47
4000 APU AA-TR-RE 1440x900 21.18
16000 APU AA-xx-xx 1440x900 11.28
16000 APU AA-TR-RE 1920x1080 65.58
260000 APU xx-xx-xx 1440x900 13.25
16000 APU AA-TR-xx 1280x720 19.15
65000 APU AA-xx-RE 1440x900 44.05
1000 APU AA-xx-RE 1440x900 7.24
16000 APU xx-xx-RE 1440x900 7.41
65000 APU AA-TR-RE 1440x900 110.25
65000 APU AA-xx-RE 1440x900 44.01
1000 APU xx-TR-xx 1280x720 3.70
260000 APU AA-TR-xx 1440x900 77.65
65000 APU AA-xx-RE 1440x900 43.92
16000 APU xx-xx-RE 1920x1080 8.77
260000 APU xx-xx-xx 1280x720 11.81
16000 APU AA-xx-xx 1920x1080 13.95
65000 APU AA-TR-xx 1440x900 36.90
260000 APU xx-TR-RE 1440x900 53.28
65000 APU xx-xx-xx 1440x900 7.56
260000 APU AA-xx-xx 1280x720 40.22
260000 APU xx-xx-RE 1440x900 24.11
16000 APU xx-TR-RE 1280x720 10.74
4000 APU xx-xx-xx 1920x1080 4.89
65000 APU AA-xx-xx 1280x720 16.15
260000 APU AA-TR-xx 1920x1080 92.63
16000 APU AA-xx-xx 1920x1080 13.89
4000 APU xx-TR-xx 1920x1080 5.56
16000 APU xx-xx-xx 1920x1080 5.86
65000 APU AA-xx-xx 1920x1080 22.98
65000 APU AA-TR-xx 1280x720 30.31
4000 APU AA-TR-RE 1280x720 17.52
4000 APU xx-xx-xx 1440x900 4.63
1000 APU AA-xx-RE 1440x900 7.19
1000 APU xx-xx-RE 1280x720 3.53
16000 APU AA-TR-xx 1920x1080 26.31
1000 APU xx-xx-xx 1920x1080 4.09
16000 APU AA-TR-xx 1280x720 19.88
4000 APU AA-xx-xx 1920x1080 9.62
65000 APU AA-xx-RE 1920x1080 55.61
4000 APU xx-TR-xx 1280x720 4.40
65000 APU xx-xx-xx 1280x720 6.29
260000 APU AA-xx-RE 1280x720 82.76
4000 APU xx-xx-xx 1920x1080 5.06
16000 APU xx-TR-RE 1440x900 13.59
4000 APU xx-xx-xx 1440x900 4.24
260000 APU xx-xx-xx 1440x900 13.26
1000 APU AA-TR-RE 1280x720 7.81
260000 APU xx-TR-RE 1920x1080 65.00
1000 APU xx-TR-RE 1920x1080 4.44
1000 APU xx-xx-xx 1920x1080 4.15
16000 APU AA-TR-xx 1440x900 23.28
1000 APU AA-xx-RE 1920x1080 7.97
1000 APU xx-TR-RE 1920x1080 4.53
1000 APU xx-xx-RE 1280x720 3.58
1000 APU xx-TR-xx 1440x900 4.27
16000 APU xx-TR-xx 1920x1080 8.23
4000 APU AA-TR-xx 1920x1080 14.00
1000 APU AA-TR-xx 1440x900 7.38
16000 APU xx-TR-xx 1920x1080 7.97
65000 APU xx-xx-RE 1280x720 9.28
16000 APU AA-TR-RE 1920x1080 65.93
1000 APU xx-xx-xx 1440x900 3.86
1000 APU xx-TR-RE 1440x900 4.25
1000 APU AA-xx-xx 1440x900 5.96
1000 APU xx-TR-RE 1280x720 3.86
16000 APU xx-TR-xx 1440x900 7.12
4000 APU AA-TR-RE 1920x1080 24.72
4000 APU AA-TR-RE 1440x900 19.97
4000 APU AA-TR-xx 1280x720 11.02
4000 APU xx-xx-xx 1440x900 4.37
1000 APU AA-TR-xx 1920x1080 7.91
1000 APU xx-TR-xx 1280x720 3.75
260000 APU AA-TR-RE 1280x720 196.10
65000 APU AA-xx-xx 1280x720 15.48
16000 APU AA-TR-xx 1920x1080 26.50
4000 APU xx-TR-RE 1440x900 6.40
260000 APU AA-TR-xx 1920x1080 92.67
65000 APU AA-TR-xx 1280x720 29.99
16000 APU xx-TR-RE 1440x900 13.14
16000 APU xx-TR-xx 1920x1080 8.18
65000 APU AA-TR-xx 1920x1080 44.13
65000 APU xx-TR-RE 1920x1080 29.67
260000 APU AA-TR-RE 1920x1080 307.32
1000 APU AA-xx-RE 1280x720 6.64
1000 APU AA-TR-xx 1920x1080 8.04
65000 APU AA-TR-RE 1920x1080 135.85
16000 APU AA-TR-RE 1440x900 56.13
260000 APU AA-TR-RE 1440x900 250.18
4000 APU xx-TR-xx 1280x720 4.64
65000 APU AA-xx-RE 1920x1080 55.40
4000 APU xx-xx-xx 1920x1080 4.61
65000 APU AA-xx-xx 1440x900 19.27
16000 APU xx-TR-xx 1440x900 7.41
16000 APU AA-xx-xx 1920x1080 13.52
16000 APU AA-xx-RE 1920x1080 30.58
1000 APU xx-xx-RE 1920x1080 4.40
16000 APU xx-xx-xx 1280x720 4.66
1000 APU AA-xx-xx 1920x1080 6.75
260000 APU xx-TR-xx 1440x900 19.25
260000 APU AA-TR-RE 1920x1080 309.37
4000 APU AA-xx-RE 1920x1080 14.98
65000 APU xx-xx-RE 1440x900 11.11
260000 APU AA-TR-xx 1280x720 67.15
16000 APU xx-TR-xx 1440x900 7.54
260000 APU xx-xx-xx 1920x1080 14.98
1000 APU xx-xx-RE 1440x900 4.02
260000 APU AA-xx-xx 1920x1080 54.64
4000 APU xx-xx-RE 1920x1080 5.57
4000 APU xx-xx-RE 1920x1080 5.53
16000 APU xx-xx-xx 1440x900 5.34
16000 APU AA-TR-RE 1280x720 43.46
65000 APU xx-xx-RE 1920x1080 13.51
4000 APU xx-TR-xx 1280x720 4.68
65000 APU AA-xx-xx 1920x1080 22.46
4000 APU AA-xx-RE 1280x720 10.58
1000 APU AA-TR-RE 1920x1080 9.52
1000 APU AA-TR-xx 1440x900 7.30
260000 APU AA-xx-xx 1920x1080 55.06
16000 APU xx-xx-RE 1280x720 6.28
260000 APU xx-xx-xx 1280x720 11.43
16000 APU xx-xx-xx 1920x1080 5.92
1000 APU xx-xx-xx 1920x1080 4.10
65000 APU AA-xx-RE 1920x1080 55.41
1000 APU xx-xx-RE 1920x1080 4.12
4000 APU AA-TR-RE 1280x720 17.10
65000 APU xx-xx-xx 1440x900 7.19
65000 APU xx-TR-xx 1920x1080 12.00
1000 APU AA-xx-RE 1920x1080 8.08
1000 APU xx-TR-xx 1440x900 3.87
16000 APU AA-TR-xx 1280x720 19.97
260000 APU xx-TR-xx 1920x1080 22.35
260000 APU xx-xx-xx 1280x720 11.99
65000 APU xx-TR-xx 1280x720 9.21
16000 APU AA-xx-xx 1440x900 11.39
4000 APU AA-xx-xx 1280x720 6.97
